blendModeOptions
BLEND MODES
DARKEST
LIGHTEST
DIFFERENCE
EXCLUSION
MULTIPLY
SCREEN
REPLACE
REMOVE
OVERLAY
HARD_LIGHT
SOFT_LIGHT
DODGE
BURN
